Level,LevelId,Arc,PuzzleFamily,EnvironmentKit,ArtObjective,InteractiveTarget,HazardOrDecoy,UniqueArtTier,GameplayStatus,ConceptStatus,FinalArtStatus,AnimationStatus,AudioStatus,Owner,ReviewNotes
11,LVL_C01_011,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Erase lotus-tassel curtain,ENT_Curtain_Lotus,ENT_Curtain_Decoy,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Layer curtain panels separately
12,LVL_C01_012,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Erase sun-symbol cupboard,ENT_Cupboard_Sun,Two symbol decoys,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Match clue bubble exactly
13,LVL_C01_013,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Clear sacks to expose hanging jar,ENT_Sack_Target,Decoy vessels,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Do not bake rope into BG
14,LVL_C01_014,Missing Modaks,EraseReveal,ENV_PALACE_STORE,Erase lotus screen for final tray,ENT_Screen_Lotus,ENT_Screen_Peacock,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Arc transition composition
15,LVL_C01_015,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Hit single basket clasp,ENT_Clasp_Target,None,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Tutorial clear arc
16,LVL_C01_016,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Hit exposed jar clasp,ENT_Clasp_Target,Decorative debris,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Mushika catch reaction
17,LVL_C01_017,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Hit clasp beside bell,ENT_Clasp_Target,ENT_Bell_Hazard,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Visible gap between colliders
18,LVL_C01_018,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Thread seed through dense bells,ENT_Clasp_Target,Bells and decoy jar,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Reserve dotted hint lane
19,LVL_C01_019,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Hit clasp between two bells,ENT_Clasp_Target,Two bell hazards,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Symmetrical precision frame
20,LVL_C01_020,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Release exposed basket,ENT_Clasp_Target,None,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Short payoff beat
21,LVL_C01_021,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Hit target near close bell,ENT_Clasp_Target,ENT_Bell_Hazard,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Fine power control layout
22,LVL_C01_022,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Shoot through two-bell corridor,ENT_Clasp_Target,Two bell hazards,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Keep drag arc unobstructed
23,LVL_C01_023,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Hit gold-seal jar in vertical stack,ENT_Jar_GoldSeal,Bell and decoy jar,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Seal readable on phone
24,LVL_C01_024,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Release correct basket across gap,ENT_Clasp_Target,Two decoy jars,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Unique balcony depth
25,LVL_C01_025,Missing Modaks,AimAndShoot,ENV_FESTIVAL_GALLERY,Release final gold-clasp basket,ENT_Clasp_Gold,Bells and decoy jars,Hero,Locked,Not Started,Not Started,Not Started,Not Started,,Festival group payoff
26,LVL_C01_026,Shadow Naga Cave,EraseReveal,ENV_FOREST_PATH,Erase root binding Ganesha,ENT_ShadowRoot_Target,None,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,No injury depiction
27,LVL_C01_027,Shadow Naga Cave,EraseReveal,ENV_FOREST_PATH,Erase ripe mango stems,ENT_MangoStem_Ripe,Unripe cluster,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Fruit catch poses
28,LVL_C01_028,Shadow Naga Cave,EraseReveal,ENV_FOREST_PATH,Erase blocking web,ENT_Web_Target,Spider non-target,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Spider exits safely
29,LVL_C01_029,Shadow Naga Cave,EraseReveal,ENV_FOREST_PATH,Reveal Shadow Naga mouth,ENT_LeafMask_Target,None,Hero,Locked,Not Started,Not Started,Not Started,Not Started,,Major reveal key art
30,LVL_C01_030,Shadow Naga Cave,BinaryChoice,ENV_FOREST_PATH,Choose fruit not calf bell,ENT_Choice_Fruit,ENT_Choice_CalfBell,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Naga hint in distance
31,LVL_C01_031,Shadow Naga Cave,BinaryChoice,ENV_FOREST_PATH,Offer food to move calf,ENT_Choice_Food,ENT_Choice_Shout,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Friend route after move
32,LVL_C01_032,Shadow Naga Cave,BinaryChoice,ENV_FOREST_PATH,Choose petal-marked ledge,ENT_Route_Petals,ENT_Route_NagaEye,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Friends are active heroes
33,LVL_C01_033,Shadow Naga Cave,BinaryChoice,ENV_FOREST_PATH,Choose route with cloth clue,ENT_Route_ClothClue,ENT_Route_Loop,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Tree supports loop animation
34,LVL_C01_034,Shadow Naga Cave,BinaryChoice,ENV_FOREST_PATH,Choose intact stepping-stone route,ENT_Route_Intact,ENT_Route_Cracked,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Cracks visible without text
35,LVL_C01_035,Shadow Naga Cave,BinaryChoice,ENV_FOREST_PATH,Choose flower path around logs,ENT_Route_Flowers,ENT_Route_Logs,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Two lanes clearly separated
36,LVL_C01_036,Shadow Naga Cave,BinaryChoice,ENV_NAGA_THRESHOLD,Choose wisdom shield to enter,ENT_Choice_WisdomShield,ENT_Choice_RunAway,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Exterior Naga hero pose
37,LVL_C01_037,Shadow Naga Cave,BinaryChoice,ENV_NAGA_THRESHOLD,Choose trunk rescue for Mitra,ENT_Choice_TrunkRescue,ENT_Choice_Strike,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Abstract magical interior
38,LVL_C01_038,Shadow Naga Cave,BinaryChoice,ENV_NAGA_THRESHOLD,Choose wisdom-light expansion,ENT_Choice_WisdomGlow,ENT_Choice_Hide,Hero,Locked,Not Started,Not Started,Not Started,Not Started,,Unique radial light sequence
39,LVL_C01_039,Shadow Naga Cave,BinaryChoice,ENV_NAGA_THRESHOLD,Choose shield dodge,ENT_Choice_ShieldDodge,ENT_Choice_Freeze,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Side lunge silhouette
40,LVL_C01_040,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Hit first vine core,ENT_VineCore_Target,None,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Cave aim tutorial
41,LVL_C01_041,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Hit growth beside trunk,ENT_VineCore_Target,Trunk blocker,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Collider matches luminous core
42,LVL_C01_042,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Hit growth near stump,ENT_VineCore_Target,Stump blocker,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Route opens after dissolve
43,LVL_C01_043,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Hit overhead vine core,ENT_VineCore_Target,Root column blocker,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Tall vertical layout
44,LVL_C01_044,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Hit suspended pod across gap,ENT_ShadowPod_Target,Gap geometry,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Long-power shot
45,LVL_C01_045,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Drop rock onto shadow anchor,ENT_RockSupport_Target,Ground wisp decoy,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Teach indirect target
46,LVL_C01_046,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Drop rock through tight opening,ENT_RockSupport_Target,Trunk and ledge,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Clear support highlight
47,LVL_C01_047,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Clear spanning hanging vine,ENT_VineCore_Target,None,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Dissolve travels along vine
48,LVL_C01_048,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Hit coil above stump,ENT_CoilCore_Target,Stone platform blocker,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Expose valid opening
49,LVL_C01_049,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Clear hazard then jump,ENT_VineCore_Target,Gap and hanging vine,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Success includes jump
50,LVL_C01_050,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Hit growth beside large trunk,ENT_VineCore_Target,Large trunk blocker,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Rim light frames target
51,LVL_C01_051,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Drop stone into vine knot,ENT_RockSupport_Target,Decoy vine,Enhanced,Locked,Not Started,Not Started,Not Started,Not Started,,Multi-vine payoff
52,LVL_C01_052,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Take open shot at overhead core,ENT_VineCore_Target,None,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Visual breathing space
53,LVL_C01_053,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Hit coil past suspended stone,ENT_CoilCore_Target,ENT_Stone_Hazard,Standard,Locked,Not Started,Not Started,Not Started,Not Started,,Visible safe trajectory
54,LVL_C01_054,Shadow Naga Cave,AimAndShoot,ENV_SHADOW_CAVE,Drop light stone onto final anchor,ENT_FinalSupport_Target,Wrong support and final coil,Hero,Locked,Not Started,Not Started,Not Started,Not Started,,Shrine restoration finale
